epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.00078125,1.2749302685260773,0.001,0.0,1.0829020738601685
1,0.00078125,0.9695747122168541,0.001,0.0,0.8272713422775269
2,0.00078125,0.7566512003540993,0.001,0.0,0.6365348100662231
3,0.00078125,0.5928142219781876,0.001,0.0,0.49486690759658813
4,0.00078125,0.4744580816477537,0.001,0.0,0.391793817281723
5,0.00078125,0.39111595787107944,0.001,0.0,0.3094240128993988
6,0.00078125,0.3282237257808447,0.001,0.0,0.24957379698753357
7,0.00078125,0.28272941522300243,0.001,0.0,0.22116900980472565
8,0.00078125,0.24566137697547674,0.001,0.0,0.18419358134269714
9,0.00078125,0.22234830167144537,0.001,0.0,0.15813100337982178
10,0.00078125,0.20041467808187008,0.001,0.0,0.14405398070812225
11,0.0,0.18416224047541618,0.001,0.0,0.12253370881080627
12,0.00078125,0.17060009017586708,0.001,0.0,0.11044028401374817
13,0.00078125,0.1604604832828045,0.001,0.0,0.09799180924892426
14,0.00078125,0.15493642259389162,0.001,0.0,0.0883479118347168
15,0.00078125,0.14682892290875316,0.001,0.0,0.08203090727329254
16,0.00078125,0.13948376988992095,0.001,0.0,0.07498408108949661
17,0.0,0.13497089920565486,0.001,0.0,0.06919988989830017
18,0.00078125,0.1305666803382337,0.001,0.0,0.0634751096367836
19,0.0,0.12538280617445707,0.001,0.0,0.058822937309741974
20,0.00078125,0.12101621413603425,0.001,0.0,0.05588219314813614
21,0.00078125,0.11659095762297511,0.001,0.0,0.0502946674823761
22,0.0,0.11396628292277455,0.001,0.0,0.04706165939569473
23,0.0,0.11055548302829266,0.001,0.0,0.04545701667666435
24,0.00078125,0.10665237344801426,0.001,0.0,0.042906418442726135
25,0.00078125,0.10505723068490624,0.001,0.0,0.0369928777217865
26,0.0,0.10829389933496714,0.001,0.0,0.08856600522994995
27,0.0,0.10367509862408042,0.001,0.0,0.035502318292856216
28,0.0,0.10048008617013693,0.001,0.0,0.031522855162620544
29,0.00078125,0.09706769976764917,0.001,0.0,0.03115570917725563
30,0.00078125,0.09572039870545268,0.001,0.0,0.027953017503023148
31,0.00078125,0.09396802145056427,0.001,0.0,0.02631542459130287
32,0.0,0.09246675949543715,0.001,0.0,0.026290005072951317
33,0.0,0.0921468804590404,0.001,0.0,0.026114117354154587
34,0.0,0.08573961770161986,0.001,0.0,0.025016237050294876
35,0.0,0.08298099925741553,0.001,0.0,0.023887112736701965
36,0.0,0.06704542064107955,0.001,0.0,0.024910982698202133
37,0.0,0.04047483252361417,0.001,0.0,0.02769092656672001
38,0.0,0.030574851669371128,0.001,0.0,0.031137481331825256
39,0.0,0.02656083251349628,0.001,0.0,0.02896120399236679
40,0.00078125,0.024529918911866844,0.001,0.0,0.026434803381562233
41,0.0,0.023444373859092593,0.000100000005,0.0,0.02531278319656849
42,0.00078125,0.023301019915379584,0.000100000005,0.0,0.025020478293299675
43,0.00078125,0.023108639754354954,0.000100000005,0.0,0.02523620054125786
44,0.00078125,0.022966574877500534,0.000100000005,0.0,0.02503916621208191
45,0.00078125,0.02279247937258333,0.000100000005,0.0,0.024610623717308044
46,0.00078125,0.022789316135458648,1.0000001e-05,0.0,0.027160778641700745
47,0.00078125,0.022694782121106982,1.0000001e-05,0.0,0.024763746187090874
48,0.00078125,0.022675940883345902,1.0000001e-05,0.0,0.02429920993745327
49,0.00078125,0.022762549808248878,1.0000001e-05,0.0,0.025057915598154068
50,0.00078125,0.02261395752429962,1.0000001e-05,0.0,0.025456596165895462
51,0.00078125,0.022651800885796547,1.0000001e-06,0.0,0.02403923124074936
52,0.00078125,0.022679763846099377,1.0000001e-06,0.0,0.025313206017017365
53,0.00078125,0.02258518000598997,1.0000001e-06,0.0,0.02393379993736744
54,0.00078125,0.022740963846445084,1.0000001e-06,0.0,0.024202726781368256
55,0.00078125,0.022678626351989806,1.0000001e-06,0.0,0.024160781875252724
56,0.00078125,0.02256658801343292,1e-06,0.0,0.024968493729829788
57,0.00078125,0.0226492426590994,1e-06,0.0,0.023811914026737213
58,0.00078125,0.0226021051639691,1e-06,0.0,0.025041259825229645
59,0.00078125,0.0226073533995077,1e-06,0.0,0.025770988315343857
60,0.00078125,0.02258250315207988,1e-06,0.0,0.023713983595371246
61,0.0,0.022839311975985765,1e-06,0.0,0.02372799813747406
62,0.00078125,0.02257165196351707,1e-06,0.0,0.024507366120815277
63,0.00078125,0.022624474833719432,1e-06,0.0,0.025659292936325073
64,0.00078125,0.0226321512600407,1e-06,0.0,0.02368193492293358
65,0.00078125,0.022643590345978737,1e-06,0.0,0.02563270553946495
66,0.00078125,0.02256995311472565,1e-06,0.0,0.023673877120018005
67,0.00078125,0.0226545506156981,1e-06,0.0,0.023950017988681793
68,0.00078125,0.022635207744315267,1e-06,0.0,0.023970691487193108
69,0.00078125,0.022629634710028768,1e-06,0.0,0.02492431364953518
70,0.00078125,0.02259776263963431,1e-06,0.0,0.023677941411733627
71,0.00078125,0.022641449002549052,1e-06,0.0,0.023927908390760422
72,0.00078125,0.022588374326005578,1e-06,0.0,0.025973789393901825
73,0.00078125,0.022582912002690136,1e-06,0.0,0.024913843721151352
74,0.00078125,0.02265413908753544,1e-06,0.0,0.025311119854450226
75,0.00078125,0.022577320924028754,1e-06,0.0,0.023623887449502945
76,0.00078125,0.022601181641221046,1e-06,0.0,0.023621123284101486
77,0.00078125,0.02257192018441856,1e-06,0.0,0.024901703000068665
78,0.00078125,0.022692954866215587,1e-06,0.0,0.02363121509552002
79,0.00078125,0.022580591728910804,1e-06,0.0,0.023622963577508926
80,0.00078125,0.0225873829331249,1e-06,0.0,0.0236193984746933
81,0.00078125,0.02255004970356822,1e-06,0.0,0.024428850039839745
82,0.00078125,0.022574302391149104,1e-06,0.0,0.023620499297976494
83,0.00078125,0.022575501003302634,1e-06,0.0,0.023624762892723083
84,0.00078125,0.022542741033248603,1e-06,0.0,0.02503112517297268
85,0.00078125,0.022607951774261892,1e-06,0.0,0.024744965136051178
86,0.00078125,0.0225168417673558,1e-06,0.0,0.024402465671300888
87,0.00078125,0.022559895645827055,1e-06,0.0,0.023597152903676033
88,0.00078125,0.02259998384397477,1e-06,0.0,0.02487245388329029
89,0.00078125,0.02256987930741161,1e-06,0.0,0.024886280298233032
90,0.00078125,0.02254765690304339,1e-06,0.0,0.023619458079338074
91,0.00078125,0.02251801115926355,1e-06,0.0,0.023615971207618713
92,0.00078125,0.022612950298935175,1e-06,0.0,0.02361593022942543
93,0.00078125,0.022555570816621184,1e-06,0.0,0.02422495372593403
94,0.00078125,0.022664643242023885,1e-06,0.0,0.02438572607934475
95,0.00078125,0.02251630846876651,1e-06,0.0,0.024374129250645638
96,0.00078125,0.02259132929611951,1e-06,0.0,0.023608330637216568
97,0.00078125,0.02253764250781387,1e-06,0.0,0.023591194301843643
98,0.00078125,0.022579271346330643,1e-06,0.0,0.026562916114926338
99,0.00078125,0.022536265081726015,1e-06,0.0,0.023597341030836105
